age,amt,days_since_last_transaction,is_fraud,merchant_transactions_count,month_cos,month_sin,weekday_cos,weekday_sin
31,354.15,0.0,0,0,1.0,0.0,-0.2225209339563146,-0.9749279121818236
31,16.02,115.46127314814815,0,0,0.8660254037844384,-0.5000000000000004,-0.900968867902419,0.43388373911755823
31,478.15,2.8398032407407405,0,0,1.0,0.0,0.6234898018587336,0.7818314824680298
31,275.31,69.6122800925926,0,0,-0.8660254037844388,-0.4999999999999997,-0.900968867902419,0.43388373911755823
31,177.68,134.8994675925926,0,0,-0.8660254037844385,0.5000000000000003,-0.900968867902419,0.43388373911755823
31,86.68,11.109988425925925,0,0,-0.8660254037844388,-0.4999999999999997,1.0,0.0
21,213.87,87.78328703703704,0,0,0.8660254037844384,-0.5000000000000004,-0.9009688679024191,-0.433883739117558
21,129.22,0.0,0,0,-0.4999999999999998,0.8660254037844387,0.6234898018587334,-0.7818314824680299
21,14.9,3.5328935185185184,0,0,-0.4999999999999998,0.8660254037844387,-0.22252093395631434,0.9749279121818236
21,12.65,94.62489583333333,0,0,-0.8660254037844388,-0.4999999999999997,-0.9009688679024191,-0.433883739117558
21,272.56,5.445833333333334,0,0,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
21,82.35,30.70340277777778,0,0,-0.5000000000000004,-0.8660254037844385,1.0,0.0
29,185.14,50.71403935185185,0,0,-1.0,1.2246467991473532e-16,0.6234898018587334,-0.7818314824680299
29,81.69,5.956180555555555,0,0,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
29,268.24,4.196122685185185,0,0,-0.4999999999999998,0.8660254037844387,-0.22252093395631434,0.9749279121818236
29,184.03,24.923622685185187,0,0,-0.4999999999999998,0.8660254037844387,-0.9009688679024191,-0.433883739117558
29,495.99,3.8124305555555558,0,0,0.8660254037844384,-0.5000000000000004,0.6234898018587334,-0.7818314824680299
29,336.22,34.74603009259259,0,0,0.49999999999999933,-0.866025403784439,-0.22252093395631434,0.9749279121818236
29,26.58,15.15287037037037,0,0,-0.8660254037844388,-0.4999999999999997,1.0,0.0
29,393.9,22.5140625,0,0,0.8660254037844384,-0.5000000000000004,1.0,0.0
29,435.5,0.0,0,0,1.0,0.0,-0.9009688679024191,-0.433883739117558
29,5.3,17.682824074074073,0,0,-0.8660254037844385,0.5000000000000003,-0.9009688679024191,-0.433883739117558
29,374.57,50.81633101851852,0,0,-1.8369701987210297e-16,-1.0,-0.22252093395631434,0.9749279121818236
29,322.73,21.315219907407407,0,0,0.49999999999999933,-0.866025403784439,-0.22252093395631434,0.9749279121818236
29,128.29,87.44395833333333,0,0,6.123233995736766e-17,1.0,1.0,0.0
69,9.05,27.624363425925925,0,0,0.8660254037844387,0.49999999999999994,-0.900968867902419,0.43388373911755823
69,198.23,20.869583333333335,0,0,-0.4999999999999998,0.8660254037844387,-0.2225209339563146,-0.9749279121818236
69,63.94,0.0,0,0,1.0,0.0,0.6234898018587334,-0.7818314824680299
69,360.73,118.105625,0,0,0.8660254037844384,-0.5000000000000004,0.6234898018587334,-0.7818314824680299
69,265.84,39.112060185185186,0,0,-0.8660254037844385,0.5000000000000003,-0.22252093395631434,0.9749279121818236
69,259.06,5.636921296296296,0,0,6.123233995736766e-17,1.0,-0.2225209339563146,-0.9749279121818236
69,322.99,51.711157407407406,0,0,0.5000000000000001,0.8660254037844386,0.6234898018587334,-0.7818314824680299
69,31.74,22.467476851851853,0,0,6.123233995736766e-17,1.0,1.0,0.0
69,127.35,4.638125,0,0,1.0,0.0,-0.9009688679024191,-0.433883739117558
69,85.09,6.099803240740741,0,1,6.123233995736766e-17,1.0,0.6234898018587334,-0.7818314824680299
69,421.25,39.59959490740741,0,0,-0.8660254037844388,-0.4999999999999997,1.0,0.0
65,414.26,25.16409722222222,0,0,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
65,82.19,7.5236226851851855,0,0,6.123233995736766e-17,1.0,0.6234898018587334,-0.7818314824680299
65,140.79,0.0,0,0,1.0,0.0,0.6234898018587336,0.7818314824680298
65,432.03,42.76931712962963,0,0,-1.0,1.2246467991473532e-16,-0.22252093395631434,0.9749279121818236
65,221.88,44.362233796296294,0,0,0.8660254037844387,0.49999999999999994,-0.900968867902419,0.43388373911755823
65,417.24,82.77556712962964,0,0,-0.5000000000000004,-0.8660254037844385,1.0,0.0
65,221.9,8.12730324074074,0,0,0.8660254037844387,0.49999999999999994,-0.9009688679024191,-0.433883739117558
65,242.61,18.555335648148148,0,0,6.123233995736766e-17,1.0,-0.9009688679024191,-0.433883739117558
65,256.68,36.49024305555555,0,0,6.123233995736766e-17,1.0,0.6234898018587334,-0.7818314824680299
60,308.92,25.859386574074072,0,0,0.5000000000000001,0.8660254037844386,-0.22252093395631434,0.9749279121818236
60,278.25,3.3193055555555557,0,0,-0.5000000000000004,-0.8660254037844385,1.0,0.0
60,102.56,17.834618055555556,0,0,-1.8369701987210297e-16,-1.0,1.0,0.0
60,420.09,34.08572916666667,0,0,-0.8660254037844385,0.5000000000000003,1.0,0.0
60,112.32,13.053425925925925,0,0,-0.5000000000000004,-0.8660254037844385,-0.900968867902419,0.43388373911755823
60,406.17,2.0722222222222224,0,0,0.49999999999999933,-0.866025403784439,-0.22252093395631434,0.9749279121818236
60,170.31,0.0,0,0,1.0,0.0,-0.22252093395631434,0.9749279121818236
